Turn,P1 Left,P1 Right,P2 Left,P2 Right,Set #,Option #
1,1,1,1,2,1,111
2,1,3,1,2,1,111
3,1,3,1,0,1,111
4,1,3,0,1,3,1
5,1,3,0,4,4,111
6,1,0,0,4,2,111
7,1,0,1,4,3,100
8,2,0,1,4,5,100
9,2,0,3,4,3,100
10,0,0,3,4,5,100
1,1,1,1,2,1,101
2,1,2,1,2,1,101
3,1,2,1,2,1,10
4,1,3,1,2,1,101
5,1,3,2,2,1,100
6,3,3,2,2,1,100
7,3,3,0,2,6,110
8,0,3,0,2,2,110
9,1,2,0,2,8,10
10,3,2,0,2,2,110
11,3,2,0,4,4,111
12,3,2,2,2,2,10
13,3,2,0,2,6,100
14,0,2,0,2,2,110
15,0,2,0,2,8,10
16,0,2,0,2,8,10
17,1,1,0,2,8,10
18,1,1,1,1,2,10
19,1,1,1,2,1,111
1,0,2,1,1,1,10
2,0,2,0,2,4,10
3,0,2,0,4,8,111
4,0,0,0,4,8,111
1,1,1,1,2,1,101
2,2,1,1,2,1,100
3,0,3,1,2,1,10
4,0,0,1,2,4,111
1,1,1,2,1,1,100
2,2,1,2,1,1,110
3,2,1,2,3,1,101
4,2,4,2,3,6,111
5,2,4,4,3,6,100
6,0,4,4,3,6,110
7,0,4,4,0,2,111
8,0,0,4,0,3,101
1,0,2,1,1,1,10
2,0,3,1,1,4,101
3,0,3,4,1,2,110
4,0,3,1,4,4,1
5,2,1,1,4,2,10
6,0,1,1,4,6,110
7,0,1,2,4,2,110
8,0,1,0,6,4,1
9,0,1,0,6,8,10
10,0,0,0,6,8,111
1,1,1,2,1,1,100
2,1,2,2,1,1,111
3,1,2,4,1,1,110
4,0,2,4,1,6,100
5,0,2,4,3,2,111
6,0,0,4,3,4,111
1,0,2,1,1,1,10
2,0,3,1,1,4,111
3,1,2,1,1,2,10
4,2,2,1,1,1,110
5,2,2,3,1,1,100
6,2,2,1,3,1,1
7,2,2,3,3,1,100
8,0,2,3,3,6,100
9,0,2,3,3,2,10
10,0,2,2,4,4,1
11,0,2,2,0,2,111
12,0,2,1,1,3,1
13,0,2,3,1,2,110
14,0,2,0,4,4,1
15,0,2,0,4,8,10
16,0,2,2,2,8,10
17,0,2,2,2,2,10
18,0,2,0,4,4,10
19,0,2,0,0,8,111
1,0,2,1,1,1,1
2,0,2,0,2,4,1
3,0,2,0,2,8,10
4,0,2,1,1,8,10
5,1,1,1,1,2,10
6,2,1,1,1,1,110
7,0,3,1,1,1,10
8,0,3,0,2,4,1
9,0,3,0,2,8,10
10,0,0,0,2,8,111
1,1,1,2,1,1,110
2,2,1,2,1,1,110
3,2,1,3,1,1,110
4,2,1,0,4,1,10
5,2,1,0,0,4,111
1,1,1,1,2,1,111
2,1,1,0,3,1,10
3,0,2,0,3,4,10
4,0,0,0,3,8,111
1,1,1,2,1,1,100
2,2,1,2,1,1,110
3,2,1,2,3,1,101
4,0,1,2,3,6,110
5,0,1,3,3,2,110
6,0,1,1,5,4,10
7,0,1,1,5,2,10
8,0,2,1,5,4,101
9,0,2,3,5,2,110
10,0,2,0,8,4,1
11,0,2,0,8,8,10
12,0,0,0,8,8,111
1,1,1,2,1,1,110
2,1,1,1,2,1,1
3,0,2,1,2,1,10
4,0,3,1,2,4,101
5,0,3,1,2,2,10
6,0,4,1,2,4,101
7,0,4,1,2,2,10
8,0,4,1,2,4,10
9,3,1,1,2,2,10
10,3,2,1,2,1,101
11,3,2,1,4,6,111
12,3,0,1,4,6,111
13,1,2,1,4,3,1
14,0,2,1,4,6,110
15,1,1,1,4,2,10
16,1,2,1,4,6,101
17,1,2,1,0,1,111
18,2,2,1,0,3,100
19,1,3,1,0,5,1
1,1,1,1,2,1,101
2,3,1,1,2,1,110
3,3,1,4,2,1,100
4,0,1,4,2,6,100
5,0,1,0,2,2,110
6,0,3,0,2,8,111
7,0,3,0,0,8,111
1,0,2,1,1,1,10
2,0,2,0,2,4,10
3,0,2,0,4,8,111
4,0,0,0,4,8,111
1,0,2,1,1,1,1
2,0,3,1,1,4,111
3,1,2,1,1,2,10
4,1,2,0,2,1,10
5,1,2,0,2,4,10
6,3,2,0,2,2,110
7,3,2,0,4,4,111
8,0,2,0,4,2,110
9,0,2,0,0,8,111
1,1,1,2,1,1,110
2,1,3,2,1,1,101
3,1,3,0,1,1,110
4,2,3,0,1,2,110
5,1,4,0,1,4,10
6,2,4,0,1,2,110
7,1,5,0,1,4,10
8,1,5,0,1,2,10
9,1,5,0,2,4,101
10,1,5,0,2,2,10
11,0,6,0,2,4,10
12,0,0,0,2,8,111
1,1,1,2,1,1,100
2,1,1,0,3,1,10
3,0,2,0,3,4,1
4,0,0,0,3,8,111
1,0,2,1,1,1,10
2,0,3,1,1,4,101
3,2,1,1,1,2,10
4,3,1,1,1,1,110
5,3,1,2,1,1,110
6,3,1,0,3,1,10
7,3,1,0,0,4,101
1,1,1,2,1,1,110
2,3,1,2,1,1,100
3,3,1,3,1,1,110
4,3,1,0,4,1,10
5,0,4,0,4,4,10
6,0,4,1,3,8,10
7,0,4,1,3,2,10
8,0,4,1,3,4,10
9,0,4,1,3,2,10
10,0,0,1,3,4,101
1,1,1,2,1,1,110
2,1,3,2,1,1,101
3,1,3,2,4,1,111
4,0,3,2,4,6,110
5,0,3,2,0,2,111
6,0,0,2,0,3,101
1,1,1,2,1,1,110
2,1,1,0,3,1,10
3,0,2,0,3,4,1
4,0,0,0,3,8,111
1,0,2,1,1,1,1
2,0,3,1,1,4,111
3,0,3,1,4,2,111
4,0,3,3,2,4,10
5,0,3,3,0,2,111
6,3,3,3,0,3,100
7,2,4,3,0,5,10
8,2,0,3,0,3,101
9,1,1,3,0,7,1
10,1,4,3,0,3,101
11,1,4,4,0,5,100
12,1,4,3,1,3,1
13,1,4,3,2,6,101
14,3,4,3,2,6,110
15,3,4,0,2,6,110
16,0,4,0,2,2,110
17,1,3,0,2,8,10
18,3,3,0,2,2,110
19,1,5,0,2,4,1
1,1,1,2,1,1,110
2,1,1,0,3,1,10
3,1,1,0,4,4,101
4,0,1,0,4,2,110
5,0,1,0,0,8,111
1,1,1,2,1,1,100
2,3,1,2,1,1,100
3,3,1,3,1,1,110
4,3,2,3,1,1,111
5,3,2,0,1,6,100
6,3,3,0,1,2,111
7,3,3,0,4,4,101
8,3,3,2,2,2,10
9,3,3,0,2,6,110
10,0,3,0,2,2,110
11,1,2,0,2,8,10
12,1,2,1,1,2,10
13,1,2,1,2,1,101
14,1,3,1,2,1,101
15,1,3,1,3,1,101
16,2,3,1,3,1,100
17,2,3,1,0,6,111
18,3,3,1,0,3,100
19,0,6,1,0,5,1
1,1,1,1,2,1,101
2,1,2,1,2,1,101
3,0,3,1,2,1,1
4,0,3,0,3,4,1
5,0,3,0,0,8,111
1,0,2,1,1,1,1
2,0,2,0,2,4,1
3,1,1,0,2,8,10
4,3,1,0,2,2,110
5,1,3,0,2,4,1
6,3,3,0,2,2,110
7,3,3,0,0,4,101
1,1,1,1,2,1,101
2,1,1,0,3,1,1
3,0,2,0,3,4,10
4,0,0,0,3,8,111
1,1,1,1,2,1,111
2,1,2,1,2,1,101
3,1,2,1,3,1,101
4,2,2,1,3,1,100
5,1,3,1,3,1,1
6,4,3,1,3,1,110
7,4,3,0,3,6,100
8,4,3,1,2,2,10
