Turn,P1 Left,P1 Right,P2 Left,P2 Right,Set #,Option #,Option,Winner
1,1,1,2,1,1,110,A(RL),2
2,1,3,2,1,1,101,A(LR),2
3,1,3,2,1,1,10,D(RL),2
4,3,3,2,1,1,100,A(LL),2
5,3,3,0,1,6,100,A(LL),2
6,4,3,0,1,2,110,A(RL),2
7,2,5,0,1,4,1,D(LR),2
8,2,5,0,1,2,10,D(RL),2
9,0,7,0,1,4,1,D(LR),2
10,0,7,0,1,8,10,D(RL),2
11,0,7,0,0,8,111,A(RR),2
1,0,2,1,1,1,10,D(RL),2
2,0,2,0,2,4,1,D(LR),2
3,0,2,0,4,8,111,A(RR),2
4,0,2,2,2,8,10,D(RL),2
5,0,2,2,4,2,111,A(RR),2
6,0,2,3,3,4,10,D(RL),2
7,1,1,3,3,2,10,D(RL),2
8,4,1,3,3,6,110,A(RL),2
9,4,1,3,0,6,101,A(LR),2
10,4,4,3,0,3,101,A(LR),2
11,4,4,0,0,5,100,A(LL),2
1,1,1,2,1,1,100,A(LL),1
2,1,2,2,1,1,111,A(RR),1
3,1,2,3,1,1,100,A(LL),1
4,1,3,3,1,1,111,A(RR),1
5,0,4,3,1,1,1,D(LR),1
6,0,0,3,1,4,111,A(RR),1
1,0,2,1,1,1,10,D(RL),1
2,0,3,1,1,4,101,A(LR),1
3,0,3,1,1,2,10,D(RL),1
4,0,3,0,2,4,1,D(LR),1
5,1,2,0,2,8,10,D(RL),1
6,1,2,0,2,2,10,D(RL),1
7,0,3,0,2,4,1,D(LR),1
8,0,0,0,2,8,111,A(RR),1
1,1,1,1,2,1,101,A(LR),2
2,1,1,0,3,1,10,D(RL),2
3,0,2,0,3,4,1,D(LR),2
4,0,2,1,2,8,10,D(RL),2
5,0,2,1,2,2,10,D(RL),2
6,0,2,0,3,4,10,D(RL),2
7,0,2,0,0,8,111,A(RR),2
1,0,2,1,1,1,1,D(LR),2
2,0,3,1,1,4,101,A(LR),2
3,0,3,4,1,2,110,A(RL),2
4,0,4,4,1,4,111,A(RR),2
5,0,4,4,0,2,111,A(RR),2
